n_periods,n_nonzero,adi,zero_share,cv2,spike_ratio,seasonal_strength,intermittency_sub,cv2_sub,spike_sub,score,risk_band,scorable,seasonal_exempt,orig_score
36,1,36.0,0.9722222222222222,,,0.31428571428571395,,,,,manual_review,False,False,0.4930555555555556
36,26,1.3846153846153846,0.2777777777777778,0.4636534368720431,2.9495229555303846,0.12703467260011803,0.013806706114398402,0.2848712491627241,1.0,0.35522761965271277,medium,True,False,0.5454517843814223
36,2,18.0,0.9444444444444444,,,0.2956136376787456,,,,,manual_review,False,False,0.5344958678671494
36,22,1.6363636363636365,0.3888888888888889,0.6489668415714862,2.715540857152991,0.22175764959879174,0.06759906759906761,0.5319557887619816,1.0,0.4632241531063206,medium,True,False,0.6141219891219891
36,1,36.0,0.9722222222222222,,,0.3142857142857143,,,,,manual_review,False,False,0.4930555555555556
36,2,18.0,0.9444444444444444,,,0.29824561403508776,,,,,manual_review,False,False,0.5694444444444444
36,36,1.0,0.0,0.18425191657874165,1.6329149040711173,0.41475077673410454,0.0,0.0,0.6329149040711173,0.15822872601777932,low,True,False,0.16908236283792466
36,2,18.0,0.9444444444444444,,,0.29824561403508754,,,,,manual_review,False,False,0.5694444444444444
36,1,36.0,0.9722222222222222,,,0.31428571428571395,,,,,manual_review,False,False,0.4930555555555556
36,24,1.5,0.3333333333333333,1.4704681010904526,9.677754359663007,0.21024850812538354,0.03846153846153845,1.0,1.0,0.6153846153846154,medium,True,False,0.592948717948718
36,1,36.0,0.9722222222222222,,,0.3142857142857143,,,,,manual_review,False,False,0.4930555555555556
36,3,12.0,0.9166666666666666,0.4447709978926194,1.0,0.287540025587558,1.0,0.2596946638568259,0.0,0.49089313234988907,medium,True,False,0.7783135116264671
36,1,36.0,0.9722222222222222,,,0.31428571428571395,,,,,manual_review,False,False,0.4930555555555556
36,19,1.894736842105263,0.4722222222222222,0.8370072299582446,4.5665999889373765,0.2739979241466248,0.12280701754385961,0.7826763066109929,1.0,0.5730595143313914,medium,True,False,0.6487573099415205
36,20,1.8,0.4444444444444444,0.6063688048746378,4.205445933119159,0.40148173890592187,0.10256410256410256,0.4751584064995171,1.0,0.457331083300472,medium,True,False,0.6367521367521367
36,4,9.0,0.8888888888888888,1.99316962926326,6.063330738912728,0.30225894489507943,1.0,1.0,1.0,1.0,high,True,False,0.9722222222222222
36,3,12.0,0.9166666666666666,0.010424638995929145,1.0,0.3107616506323123,1.0,0.0,0.0,0.4,medium,True,False,0.49390369415126667
36,17,2.1176470588235294,0.5277777777777778,0.35381647365386765,1.9172841984713906,0.16661962671902986,0.17043740573152338,0.13842196487182354,0.9172841984713906,0.34594369961559523,medium,True,False,0.5326959559334374
36,7,5.142857142857143,0.8055555555555556,0.9865823985981101,3.2996210522321863,0.25482690337785296,0.816849816849817,0.9821098647974802,1.0,0.9204783794190449,high,True,False,0.9056013431013432
